NAME,Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles,Meningitis
DAY 620,7780,,11328,295446,813,2127,1100
DAY 621,7787,,11328,295446,813,2130,1100
DAY 622,7793,,11328,295446,813,2133,1100
DAY 623,7800,,11328,295446,813,2135,1100
DAY 624,7802,,11328,295446,813,2138,1100
DAY 625,7803,,11328,295446,813,2141,1100
DAY 626,7805,,11328,295446,813,2143,1100
DAY 627,7806,,11328,295446,813,2146,1100
DAY 628,7808,,11328,295446,813,2149,1100
DAY 629,7809,,11328,295446,813,2151,1100
DAY 630,7811,,11328,295446,813,2154,1100
DAY 631,7813,,11328,295446,813,2157,1100
DAY 632,7814,,11328,295446,813,2159,1100
DAY 633,7816,,11328,295446,813,2162,1100
DAY 634,7817,,11328,295446,813,2165,1100
DAY 635,7819,,11328,295446,813,2167,1100
DAY 636,7820,,11328,295446,813,2170,1100
DAY 637,7822,,11328,295446,813,2173,1100
DAY 638,7824,,11328,295446,813,2175,1100
DAY 639,7825,,11328,295446,813,2178,1100
DAY 640,7827,,11328,295446,813,2181,1100
DAY 641,7828,,11328,295446,813,2183,1100
DAY 642,7830,,11328,295446,813,2186,1100
DAY 643,7831,,11328,295446,813,2189,1100
DAY 644,7833,,11328,295446,813,2191,1100
DAY 645,7835,,11328,295446,813,2194,1100
DAY 646,7836,,11328,295446,813,2197,1100
DAY 647,7838,,11328,295446,813,2199,1100
DAY 648,7839,,11328,295446,813,2202,1100
DAY 649,7841,,11328,295446,813,2205,1100
DAY 650,7842,,11328,295446,813,2207,1100
DAY 651,7844,,11328,295446,813,2210,1100
DAY 652,7845,,11328,295446,813,2213,1100
DAY 653,7847,,11328,295446,813,2215,1100
DAY 654,7849,,11328,295446,813,2218,1100
DAY 655,7850,,11328,295446,813,2221,1100
DAY 656,7852,,11328,295446,813,2223,1100
DAY 657,7853,,11328,295446,813,2226,1100
DAY 658,7855,,11328,295446,813,2229,1100
DAY 659,7856,,11328,295446,813,2231,1100
DAY 660,7858,,11328,295446,813,2234,1100
DAY 661,7860,,11328,295446,813,2237,1100
DAY 662,7861,,11328,295446,813,2239,1100
DAY 663,7863,,11328,295446,813,2242,1100
DAY 664,7864,,11328,295446,813,2245,1100
DAY 665,7866,,11328,295446,813,2247,1100
DAY 666,7867,,11328,295446,813,2250,1100
DAY 667,7869,,11328,295446,813,2253,1100
DAY 668,7871,,11328,295446,813,2255,1100
DAY 669,7872,,11328,295446,813,2258,1100
DAY 670,7874,,11328,295446,813,2261,1100
DAY 671,7875,,11328,295446,813,2263,1100
DAY 672,7877,,11328,295446,813,2266,1100
DAY 673,7878,,11328,295446,813,2268,1100
DAY 674,7880,,11328,295446,813,2271,1100
DAY 675,7882,,11328,295446,813,2274,1100
DAY 676,7883,,11328,295446,813,2276,1100
DAY 677,7885,,11328,295446,813,2279,1100
DAY 678,7886,,11328,295446,813,2282,1100
DAY 679,7888,,11328,295446,813,2284,1100
DAY 680,7889,,11328,295446,813,2287,1100
DAY 681,7891,,11328,295446,813,2290,1100
DAY 682,7893,,11328,295446,813,2292,1100
DAY 683,7894,,11328,295446,813,2295,1100
DAY 684,7896,,11328,295446,813,2298,1100
DAY 685,7897,,11328,295446,813,2300,1100
DAY 686,7899,,11328,295446,813,2303,1100
DAY 687,7900,,11328,295446,813,2306,1100
DAY 688,7902,,11328,295446,813,2308,1100
DAY 689,7904,,11328,295446,813,2311,1100
DAY 690,7905,,11328,295446,813,2314,1100
DAY 691,7907,,11328,295446,813,2316,1100
DAY 692,7908,,11328,295446,813,2319,1100
DAY 693,7910,,11328,295446,813,2322,1100
DAY 694,7911,,11328,295446,813,2324,1100
DAY 695,7913,,11328,295446,813,2327,1100
DAY 696,7915,,11328,295446,813,2330,1100
DAY 697,7916,,11328,295446,813,2332,1100
DAY 698,7918,,11328,295446,813,2335,1100
DAY 699,7919,,11328,295446,813,2338,1100
DAY 700,7921,,11328,295446,813,2340,1100
DAY 701,7922,,11328,295446,813,2343,1100
DAY 702,7924,,11328,295446,813,2346,1100
DAY 703,7925,,11328,295446,813,2348,1100
DAY 704,7927,,11328,295446,813,2351,1100
DAY 705,7929,,11328,295446,813,2354,1100
DAY 706,7930,,11328,295446,813,2356,1100
DAY 707,7932,,11328,295446,813,2359,1100
DAY 708,7933,,11328,295446,813,2362,1100
DAY 709,7935,,11328,295446,813,2364,1100
DAY 710,7936,,11328,295446,813,2367,1100
DAY 711,7938,,11328,295446,813,2370,1100
DAY 712,7940,,11328,295446,813,2372,1100
DAY 713,7941,,11328,295446,813,2375,1100
DAY 714,7943,,11328,295446,813,2378,1100
DAY 715,7944,,11328,295446,813,2380,1100
DAY 716,7946,,11328,295446,813,2383,1100
DAY 717,7947,,11328,295446,813,2386,1100
DAY 718,7949,,11328,295446,813,2388,1100
DAY 719,7951,,11328,295446,813,2391,1100
DAY 720,7952,,11328,295446,813,2394,1100
DAY 721,7954,,11328,295446,813,2396,1100
DAY 722,7955,,11328,295446,813,2399,1100
DAY 723,7957,,11328,295446,813,2402,1100
DAY 724,7958,,11328,295446,813,2404,1100
DAY 725,7960,,11328,295446,813,2407,1100
DAY 726,7963,,11328,295446,813,2410,1100
DAY 727,7966,,11328,295446,813,2412,1100
DAY 728,7969,,11328,295446,813,2415,1100
DAY 729,7972,,11328,295446,813,2418,1100
DAY 730,7975,,11328,295446,813,2420,1100
DAY 731,7975,,11328,295446,813,2423,1100
DAY 732,7982,,11328,295446,813,2426,1100
DAY 733,7985,,11328,295446,813,2428,1100
DAY 734,7988,,11328,295446,813,2431,1100
DAY 735,7991,,11328,295446,813,2434,1100
DAY 736,7994,,11328,295446,813,2436,1100
DAY 737,7997,,11328,295446,813,2439,1100
DAY 738,8000,,11328,295446,813,2442,1100
DAY 739,8003,,11328,295446,813,2444,1100
DAY 740,8006,,11328,295446,813,2447,1100
DAY 741,8009,,11328,295446,813,2450,1100
DAY 742,8012,,11328,295446,813,2452,1100
DAY 743,8015,,11328,295446,813,2455,1100
DAY 744,8019,,11328,295446,813,2458,1100
DAY 745,8022,,11328,295446,813,2460,1100
DAY 746,8025,,11328,295446,813,2463,1100
DAY 747,8028,,11328,295446,813,2466,1100
DAY 748,8031,,11328,295446,813,2468,1100
DAY 749,8034,,11328,295446,813,2471,1100
DAY 750,8037,,11328,295446,813,2474,1100
DAY 751,8043,,11328,295446,813,2476,1100
DAY 752,8049,,11328,295446,813,2479,1100
DAY 753,8055,,11328,295446,813,2482,1100
DAY 754,8061,,11328,295446,813,2484,1100
DAY 755,8067,,11328,295446,813,2487,1100
DAY 756,8072,,11328,295446,813,2490,1100
DAY 757,8078,,11328,295446,813,2492,1100
DAY 758,8084,,11328,295446,813,2495,1100
DAY 759,8090,,11328,295446,813,2498,1100
DAY 760,8096,,11328,295446,813,2500,1100
DAY 761,8102,,11328,295446,813,2503,1100
DAY 762,8107,,11328,295446,813,2505,1100
DAY 763,8113,,11328,295446,813,2508,1100
DAY 764,8118,,11328,295446,813,2511,1100
DAY 765,8123,,11328,295446,813,2513,1100
DAY 766,8129,,11328,295446,813,2516,1100
DAY 767,8134,,11328,295446,813,2519,1100
DAY 768,8139,,11328,295446,813,2521,1100
DAY 769,8145,,11328,295446,813,2524,1100
DAY 770,8150,,11328,295446,813,2527,1100
DAY 771,8153,,11328,295446,813,2529,1100
DAY 772,8156,,11328,295446,813,2532,1100
DAY 773,8160,,11328,295446,813,2535,1100
DAY 774,8163,,11328,295446,813,2537,1100
DAY 775,8166,,11328,295446,813,2540,1100
DAY 776,8169,,11328,295446,813,2543,1100
DAY 777,8172,,11328,295446,813,2545,1100
DAY 778,8176,,11328,295446,813,2548,1100
DAY 779,8179,,11328,295446,813,2551,1100
DAY 780,8182,,11328,295446,813,2553,1100
DAY 781,8185,,11328,295446,813,2556,1100
DAY 782,8188,,11328,295446,813,2559,1100
DAY 783,8192,,11328,295446,813,2561,1100
DAY 784,8195,,11328,295446,813,2564,1100
DAY 785,8198,,11328,295446,813,2567,1100
DAY 786,8201,,11328,295446,813,2569,1100
DAY 787,8205,,11328,295446,813,2572,1100
DAY 788,8208,,11328,295446,813,2575,1100
DAY 789,8211,,11328,295446,813,2577,1100
DAY 790,8214,,11328,295446,813,2580,1100
DAY 791,8217,,11328,295446,813,2583,1100
DAY 792,8221,,11328,295446,813,2585,1100
DAY 793,8224,,11328,295446,813,2588,1100
DAY 794,8227,,11328,295446,813,2591,1100
DAY 795,8234,,11328,295446,813,2593,1100
DAY 796,8240,,11328,295446,813,2596,1100
DAY 797,8247,,11328,295446,813,2599,1100
DAY 798,8254,,11328,295446,813,2601,1100
DAY 799,8260,,11328,295446,813,2604,1100
DAY 800,8267,,11328,295446,813,2607,1100
