NAME,Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles,Meningitis
DAY 246,5381,,5628,85524,813,913,1100
DAY 247,5386,,5674,86582,813,916,1100
DAY 248,5392,,5830,87665,813,920,1100
DAY 249,5397,,5987,88774,813,924,1100
DAY 250,5442,,6000,89908,813,928,1100
DAY 251,5486,,6014,91068,813,931,1100
DAY 252,5531,,6027,92253,813,935,1100
DAY 253,5576,,6041,93464,813,939,1100
DAY 254,5621,,6055,94701,813,942,1100
DAY 255,5665,,6100,95962,813,946,1100
DAY 256,5710,,6145,97250,813,950,1100
DAY 257,5755,,6191,98563,813,954,1100
DAY 258,5800,,6236,99901,813,957,1100
DAY 259,5844,,6282,101265,813,961,1100
DAY 260,5889,,6327,102654,813,965,1100
DAY 261,5896,,6373,104069,813,969,1100
DAY 262,5903,,6448,105509,813,972,1100
DAY 263,5910,,6523,106975,813,976,1100
DAY 264,5917,,6598,108466,813,980,1100
DAY 265,5924,,6674,109983,813,983,1100
DAY 266,5931,,6749,111525,813,987,1100
DAY 267,5938,,6824,113093,813,991,1100
DAY 268,5945,,6900,114686,813,995,1100
DAY 269,5952,,6996,116305,813,998,1100
DAY 270,5959,,7092,117949,813,1002,1100
DAY 271,5966,,7188,119618,813,1006,1100
DAY 272,5973,,7284,121314,813,1009,1100
DAY 273,5980,,7380,123034,813,1013,1100
DAY 274,5987,,7476,124780,813,1017,1100
DAY 275,5994,,7573,126552,813,1021,1100
DAY 276,6001,,7618,128349,813,1024,1100
DAY 277,6008,,7663,130172,813,1028,1100
DAY 278,6015,,7708,132020,813,1032,1100
DAY 279,6022,,7753,133894,813,1036,1100
DAY 280,6029,,7798,135793,813,1039,1100
DAY 281,6036,,7843,137717,813,1043,1100
DAY 282,6043,,7889,139667,813,1047,1100
DAY 283,6050,,7936,141643,813,1050,1100
DAY 284,6057,,7983,143644,813,1054,1100
DAY 285,6064,,8030,145671,813,1058,1100
DAY 286,6071,,8078,147723,813,1062,1100
DAY 287,6078,,8125,149899,813,1065,1100
DAY 288,6085,,8172,152044,813,1069,1100
DAY 289,6092,,8220,154159,813,1073,1100
DAY 290,6099,,8247,156244,813,1077,1100
DAY 291,6106,,8275,158300,813,1080,1100
DAY 292,6113,,8303,160326,813,1084,1100
DAY 293,6120,,8330,162324,813,1088,1100
DAY 294,6127,,8358,164294,813,1091,1100
DAY 295,6134,,8386,166236,813,1095,1100
DAY 296,6141,,8414,168150,813,1099,1100
DAY 297,6148,,8444,170037,813,1103,1100
DAY 298,6155,,8474,171898,813,1106,1100
DAY 299,6162,,8504,173732,813,1110,1100
DAY 300,6169,,8535,175540,813,1114,1100
DAY 301,6176,,8565,177323,813,1118,1100
DAY 302,6183,,8595,179081,813,1121,1100
DAY 303,6190,,8626,180813,813,1125,1100
DAY 304,6197,,8650,182522,813,1129,1100
DAY 305,6204,,8674,184206,813,1132,1100
DAY 306,6211,,8698,185866,813,1136,1100
DAY 307,6218,,8722,187502,813,1140,1100
DAY 308,6225,,8746,189116,813,1144,1100
DAY 309,6232,,8770,190707,813,1147,1100
DAY 310,6239,,8795,192275,813,1151,1100
DAY 311,6246,,8819,193821,813,1155,1100
DAY 312,6253,,8843,195345,813,1158,1100
DAY 313,6260,,8868,196848,813,1162,1100
DAY 314,6267,,8892,198329,813,1166,1100
DAY 315,6274,,8917,199790,813,1170,1100
DAY 316,6281,,8941,201230,813,1173,1100
DAY 317,6288,,8966,202649,813,1177,1100
DAY 318,6295,,8994,204048,813,1181,1100
DAY 319,6302,,9022,205428,813,1185,1100
DAY 320,6309,,9050,206788,813,1188,1100
DAY 321,6316,,9078,208129,813,1192,1100
DAY 322,6323,,9106,209451,813,1196,1100
DAY 323,6330,,9134,210754,813,1199,1100
DAY 324,6337,,9162,212039,813,1203,1100
DAY 325,6344,,9191,213305,813,1207,1100
DAY 326,6351,,9220,214554,813,1211,1100
DAY 327,6358,,9249,215785,813,1214,1100
DAY 328,6365,,9278,216999,813,1218,1100
DAY 329,6372,,9307,218195,813,1222,1100
DAY 330,6379,,9336,219375,813,1226,1100
DAY 331,6386,,9365,220537,813,1229,1100
DAY 332,6393,,9397,221684,813,1233,1100
DAY 333,6400,,9429,222814,813,1237,1100
DAY 334,6407,,9461,223928,813,1240,1100
DAY 335,6414,,9493,225027,813,1244,1100
DAY 336,6421,,9525,226109,813,1248,1100
DAY 337,6428,,9557,227177,813,1252,1100
DAY 338,6435,,9589,228230,813,1255,1100
DAY 339,6443,,9618,229267,813,1259,1100
DAY 340,6451,,9647,230290,813,1263,1100
DAY 341,6459,,9676,231299,813,1267,1100
DAY 342,6466,,9705,232293,813,1270,1100
DAY 343,6474,,9734,233273,813,1274,1100
DAY 344,6482,,9763,234239,813,1278,1100
DAY 345,6490,,9792,235192,813,1281,1100
DAY 346,6498,,9816,236131,813,1285,1100
DAY 347,6506,,9840,237057,813,1289,1100
DAY 348,6514,,9864,237970,813,1293,1100
DAY 349,6522,,9888,238870,813,1296,1100
DAY 350,6529,,9912,239757,813,1300,1100
DAY 351,6537,,9936,240631,813,1304,1100
DAY 352,6545,,9961,241493,813,1307,1100
DAY 353,6553,,9992,242344,813,1311,1100
DAY 354,6561,,10023,243182,813,1315,1100
DAY 355,6569,,10054,244008,813,1319,1100
DAY 356,6577,,10085,244822,813,1322,1100
DAY 357,6585,,10116,245625,813,1326,1100
DAY 358,6592,,10147,246417,813,1330,1100
DAY 359,6600,,10179,247197,813,1334,1100
DAY 360,6608,,10197,247967,813,1337,1100
DAY 361,6616,,10216,248725,813,1341,1100
DAY 362,6624,,10235,249473,813,1345,1100
DAY 363,6632,,10254,250210,813,1348,1100
DAY 364,6640,,10273,250937,813,1352,1100
DAY 365,6647,,10292,251653,813,1356,1100
DAY 366,6655,,10311,252360,813,1360,1100
DAY 367,6663,,10338,253056,813,1363,1100
DAY 368,6671,,10350,253742,813,1367,1100
DAY 369,6679,,10366,254419,813,1371,1100
DAY 370,6687,,10382,255087,813,1375,1100
DAY 371,6695,,10398,255744,813,1378,1100
DAY 372,6703,,10445,256393,813,1382,1100
DAY 373,6710,,10445,257032,813,1386,1100
DAY 374,6718,,10462,257662,813,1389,1100
DAY 375,6726,,10484,258284,813,1393,1100
DAY 376,6734,,10506,258896,813,1397,1100
DAY 377,6742,,10528,259500,813,1401,1100
DAY 378,6750,,10550,260096,813,1404,1100
DAY 379,6758,,10573,260683,813,1408,1100
DAY 380,6766,,10573,261261,813,1412,1100
DAY 381,6773,,10584,261832,813,1416,1100
DAY 382,6781,,10587,262394,813,1419,1100
DAY 383,6789,,10592,262949,813,1423,1100
DAY 384,6797,,10598,263495,813,1427,1100
DAY 385,6800,,10604,264034,813,1430,1100
DAY 386,6802,,10611,264565,813,1434,1100
DAY 387,6805,,10689,265089,813,1438,1100
DAY 388,6808,,10699,265606,813,1442,1100
DAY 389,6811,,10702,266115,813,1445,1100
DAY 390,6813,,10715,266616,813,1449,1100
DAY 391,6816,,10721,267111,813,1453,1100
DAY 392,6819,,10814,267599,813,1456,1100
DAY 393,6821,,10820,268080,813,1460,1100
DAY 394,6824,,10824,268554,813,1464,1100
DAY 395,6827,,10833,269021,813,1468,1100
DAY 396,6830,,10842,269482,813,1471,1100
DAY 397,6832,,10863,269936,813,1475,1100
DAY 398,6835,,10884,270384,813,1479,1100
DAY 399,6838,,10887,270825,813,1483,1100
DAY 400,6840,,10890,271261,813,1486,1100
DAY 401,6843,,10892,271690,813,1490,1100
DAY 402,6846,,10893,272113,813,1494,1100
DAY 403,6849,,10894,272530,813,1497,1100
DAY 404,6851,,10895,272941,813,1501,1100
DAY 405,6854,,10980,273346,813,1505,1100
DAY 406,6857,,11006,273746,813,1509,1100
DAY 407,6859,,11007,274140,813,1512,1100
DAY 408,6862,,11007,274528,813,1516,1100
DAY 409,6865,,11026,274911,813,1520,1100
DAY 410,6868,,11045,275288,813,1524,1100
DAY 411,6870,,11064,275660,813,1527,1100
DAY 412,6873,,11065,276027,813,1531,1100
DAY 413,6876,,11068,276389,813,1535,1100
DAY 414,6878,,11072,276746,813,1538,1100
DAY 415,6881,,11074,277097,813,1542,1100
DAY 416,6884,,11088,277444,813,1546,1100
DAY 417,6887,,11102,277785,813,1550,1100
DAY 418,6889,,11117,278122,813,1553,1100
DAY 419,6892,,11120,278454,813,1557,1100
DAY 420,6895,,11121,278781,813,1561,1100
DAY 421,6897,,11122,279104,813,1565,1100
DAY 422,6900,,11125,279422,813,1568,1100
DAY 423,6903,,11127,279736,813,1572,1100
DAY 424,6906,,11129,280045,813,1576,1100
DAY 425,6908,,11131,280350,813,1579,1100
DAY 426,6911,,11134,280650,813,1583,1100
DAY 427,6914,,11137,280947,813,1587,1100
DAY 428,6916,,11140,281239,813,1591,1100
DAY 429,6919,,11142,281527,813,1594,1100
DAY 430,6922,,11143,281811,813,1598,1100
DAY 431,6925,,11144,282091,813,1602,1100
DAY 432,6927,,11145,282367,813,1605,1100
DAY 433,6930,,11147,282639,813,1609,1100
DAY 434,6933,,11147,282907,813,1613,1100
DAY 435,6935,,11148,283171,813,1617,1100
DAY 436,6938,,11148,283432,813,1620,1100
DAY 437,6941,,11149,283689,813,1624,1100
DAY 438,6944,,11149,283942,813,1628,1100
DAY 439,6946,,11154,284192,813,1632,1100
DAY 440,6949,,11158,284438,813,1635,1100
DAY 441,6952,,11160,284681,813,1639,1100
DAY 442,6954,,11163,284920,813,1643,1100
DAY 443,6957,,11163,285156,813,1646,1100
DAY 444,6960,,11164,285388,813,1650,1100
DAY 445,6963,,11166,285618,813,1654,1100
DAY 446,6965,,11168,285844,813,1658,1100
DAY 447,6968,,11169,286067,813,1661,1100
DAY 448,6971,,11171,286286,813,1665,1100
DAY 449,6973,,11173,286503,813,1669,1100
DAY 450,6976,,11178,286716,813,1673,1100
DAY 451,6979,,11185,286927,813,1676,1100
DAY 452,6982,,11192,287134,813,1680,1100
DAY 453,6984,,11199,287339,813,1683,1100
DAY 454,6987,,11207,287541,813,1685,1100
DAY 455,6990,,11212,287739,813,1688,1100
DAY 456,6992,,11217,287935,813,1691,1100
DAY 457,6995,,11217,288129,813,1693,1100
DAY 458,6998,,11217,288319,813,1696,1100
DAY 459,7001,,11218,288507,813,1699,1100
DAY 460,7003,,11218,288692,813,1701,1100
DAY 461,7006,,11219,288875,813,1704,1100
DAY 462,7009,,11220,289055,813,1707,1100
DAY 463,7011,,11220,289232,813,1709,1100
DAY 464,7014,,11224,289407,813,1712,1100
DAY 465,7017,,11229,289580,813,1715,1100
DAY 466,7020,,11328,289750,813,1717,1100
DAY 467,7022,,11328,289917,813,1720,1100
DAY 468,7025,,11328,290082,813,1723,1100
DAY 469,7029,,11328,290245,813,1725,1100
DAY 470,7034,,11328,290406,813,1728,1100
DAY 471,7038,,11328,290564,813,1731,1100
DAY 472,7042,,11328,290720,813,1733,1100
DAY 473,7047,,11328,290874,813,1736,1100
DAY 474,7051,,11328,291026,813,1739,1100
DAY 475,7056,,11328,291175,813,1741,1100
DAY 476,7060,,11328,291323,813,1744,1100
DAY 477,7064,,11328,291468,813,1747,1100
DAY 478,7069,,11328,291612,813,1749,1100
DAY 479,7073,,11328,291753,813,1752,1100
DAY 480,7077,,11328,291892,813,1755,1100
DAY 481,7082,,11328,292029,813,1757,1100
DAY 482,7086,,11328,292165,813,1760,1100
DAY 483,7090,,11328,292298,813,1763,1100
DAY 484,7095,,11328,292430,813,1765,1100
DAY 485,7099,,11328,292559,813,1768,1100
DAY 486,7103,,11328,292687,813,1771,1100
DAY 487,7108,,11328,292813,813,1773,1100
DAY 488,7112,,11328,292938,813,1776,1100
